Date,Open,High,Low,Close,Volume
2017-04-06,25.059999,25.312500,24.602501,25.190001,63512000
2017-04-07,25.254999,25.432501,24.930000,25.082500,42906800
2017-04-10,25.090000,25.157499,24.400000,24.442499,75633200
2017-04-11,24.137501,24.725000,24.087500,24.530001,61814800
2017-04-12,24.530001,24.674999,24.275000,24.327499,41409200
2017-04-13,24.082500,24.302500,23.872499,23.872499,50689200
2017-04-17,24.002501,24.809999,23.950001,24.807501,49729200
2017-04-18,24.662500,24.885000,24.400000,24.822500,37011600
2017-04-19,25.000000,25.245001,24.852501,24.920000,38082800
2017-04-20,25.067499,25.362499,24.852501,25.315001,40401600
2017-04-21,25.209999,25.447500,25.090000,25.420000,34189600
2017-04-24,25.740000,25.870001,25.527500,25.737499,37182000
2017-04-25,25.885000,26.332500,25.667500,26.184999,38844000
2017-04-26,26.322500,26.347500,25.985001,26.004999,32700400
2017-04-27,26.080000,26.495001,25.897499,26.410000,31970000
2017-04-28,26.340000,26.410000,26.017500,26.075001,34824800
2017-05-01,26.184999,26.712500,26.112499,26.660000,30773200
2017-05-02,26.387501,26.400000,25.639999,25.870001,62997200
2017-05-03,25.799999,26.160000,25.650000,26.062500,33690400
2017-05-04,26.125000,26.237499,25.882500,25.962500,20978800
2017-05-05,25.844999,26.037500,25.687500,25.965000,22842800
2017-05-08,26.084999,26.100000,25.577499,25.692499,36524000
2017-05-09,25.750000,26.232500,25.665001,25.735001,84767200
2017-05-10,28.572500,30.455000,28.504999,30.322500,212909600
2017-05-11,30.012501,32.607498,29.977501,31.625000,193979200
2017-05-12,31.657499,32.400002,31.445000,31.972500,96262000
2017-05-15,32.389999,33.602501,32.345001,33.577499,108754000
2017-05-16,34.095001,34.360001,33.340000,34.202499,112070000
2017-05-17,33.525002,33.715000,31.887501,31.930000,127136800
2017-05-18,32.375000,33.357498,31.762501,33.267502,115603200
2017-05-19,34.257500,34.555000,33.805000,34.000000,101837200
2017-05-22,34.442501,34.869999,34.332500,34.724998,83660800
2017-05-23,34.924999,34.947498,33.927502,34.257500,68124800
2017-05-24,35.240002,35.267502,34.520000,34.642502,81599600
2017-05-25,35.000000,35.007500,34.110001,34.564999,60822800
2017-05-26,34.482498,36.320000,34.277500,35.459999,77914000
2017-05-30,35.924999,36.572498,35.762501,36.217499,98965200
2017-05-31,36.672501,36.750000,35.512501,36.087502,88731600
2017-06-01,36.247501,36.257500,35.630001,36.090000,50334000
2017-06-02,36.060001,36.325001,35.849998,35.910000,48745600
2017-06-05,35.744999,37.132500,35.627499,37.002499,81737600
2017-06-06,36.955002,37.422501,36.700001,36.834999,75872800
2017-06-07,37.082500,37.470001,36.924999,37.279999,61261200
2017-06-08,38.365002,40.000000,37.947498,39.985001,116174400
2017-06-09,41.185001,42.125000,35.687500,37.400002,369292800
2017-06-12,36.470001,37.924999,35.527500,37.492500,169753200
2017-06-13,38.599998,38.692501,36.412498,37.849998,167250400
2017-06-14,37.880001,38.514999,37.125000,37.930000,118464000
2017-06-15,36.740002,38.400002,36.625000,38.092499,96382400
2017-06-16,38.189999,38.674999,37.560001,37.904999,92496000
2017-06-19,38.352501,39.382500,38.314999,39.330002,77817600
2017-06-20,39.757500,40.435001,39.230000,39.272499,109544400
2017-06-21,39.552502,39.904999,38.924999,39.867500,68265200
2017-06-22,39.950001,40.084999,39.349998,39.592499,46913200
2017-06-23,39.669998,39.830002,38.305000,38.457500,108858800
2017-06-26,38.790001,39.150002,37.082500,38.037498,106396000
2017-06-27,37.860001,37.947498,36.587502,36.645000,99949200
2017-06-28,37.330002,37.985001,36.437500,37.937500,99494800
2017-06-29,37.650002,37.680000,36.020000,36.669998,106442400
2017-06-30,36.845001,36.982498,35.875000,36.139999,73106000
2017-07-03,36.262501,36.412498,34.645000,34.832500,70907200
2017-07-05,35.474998,36.055000,35.282501,35.762501,82018800
2017-07-06,35.467499,36.345001,34.939999,35.869999,74628400
2017-07-07,36.445000,36.875000,36.212502,36.689999,65497200
2017-07-10,37.435001,38.500000,37.169998,38.424999,95849200
2017-07-11,38.462502,39.047501,38.037498,38.970001,75795600
2017-07-12,39.575001,40.750000,39.139999,40.627499,114520800
2017-07-13,40.750000,41.575001,39.687500,40.157501,136913200
2017-07-14,40.322498,41.252499,40.252499,41.237499,94194800
2017-07-17,41.582500,41.875000,40.437500,41.062500,93079200
2017-07-18,40.445000,41.637501,40.325001,41.490002,77664000
2017-07-19,41.582500,41.849998,41.152500,41.275002,68704400
2017-07-20,41.482498,41.877499,40.977501,41.875000,69959600
2017-07-21,41.667500,42.325001,41.522499,42.025002,64833200
2017-07-24,42.097500,42.195000,41.430000,41.537498,65252400
2017-07-25,41.305000,41.482498,40.895000,41.337502,49655600
2017-07-26,41.919998,42.482498,41.462502,41.814999,64040400
2017-07-27,42.067501,42.185001,39.389999,40.435001,78285600
2017-07-28,40.072498,41.345001,39.820000,41.097500,51334800
2017-07-31,41.235001,41.599998,40.154999,40.627499,55967200
2017-08-01,40.532501,41.139999,40.250000,41.122501,43138400
2017-08-02,41.437500,41.477501,40.317501,41.097500,47844400
2017-08-03,41.092499,41.657501,40.919998,41.619999,44242000
2017-08-04,41.849998,42.517502,41.619999,41.802502,58909600
